pdname(ID),brand,SSD.cp,HDD.cp,RAM.cp,CPU.brand,CPU.bench,core num,screen size,resolution,DDR,SSD.kind,GPU.brand,GPU.brand,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price
LG전자 2019 울트라PC 15U590-GA56K,8,512,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,978000
LG전자 2019 울트라PC 15U590-GA56K,8,1024,0,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,1049000
LG전자 2019 울트라PC 15U590-GA56K,8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,965000
LG전자 2019 울트라PC 15U590-GA56K,8,256,512,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,955000
LG전자 2019 울트라PC 15U590-GA56K,8,256,1024,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,970000
LG전자 2019 울트라PC 15U590-GA56K,8,256,2048,8,1,7989,4,15.6,1,1,2,0,1057,0,1,3,1,1.75,19.9,1,35,3,1020000
레노버 아이디어패드 S340-14API Picasso R5,12,128,0,4,0,8148,4,14,1,1,3,1,1736,0,1,2,0,1.49,17.9,1,52.5,0,495000
LG전자 2019 울트라PC 15U490-GA56K,8,256,0,8,0,7353,4,15.6,1,1,2,1,1736,0,0,2,1,1.99,20.9,1,48,3,736000
APPLE 맥북프로 2019년형 MV972KH/A,2,512,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58,1,2100000
삼성전자 노트북5 NT550EBZ-AD2A,13,128,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,400000
삼성전자 노트북5 NT550EBZ-AD2A,13,256,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,522000
삼성전자 노트북5 NT550EBZ-AD2A,13,512,0,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,572000
삼성전자 노트북5 NT550EBZ-AD2A,13,128,0,8,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,554000
삼성전자 노트북5 NT550EBZ-AD2A,13,128,1024,4,1,3154,2,15.6,1,1,2,0,717,0,1,2,1,1.9,19.9,0,43,2,600000
LG전자 2019 그램 15Z990-HA76K,8,512,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1762000
LG전자 2019 그램 15Z990-HA76K,8,1024,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1943000
LG전자 2019 그램 15Z990-HA76K,8,2048,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,2172000
LG전자 2019 그램 15Z990-HA76K,8,3072,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,2700000
LG전자 2019 그램 15Z990-HA76K,8,640,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1838000
LG전자 2019 그램 15Z990-HA76K,8,768,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1839000
LG전자 2019 그램 15Z990-HA76K,8,1024,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1930000
LG전자 2019 그램 15Z990-HA76K,8,1536,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,1953000
LG전자 2019 그램 15Z990-HA76K,8,2560,0,16,1,8942,4,15.6,1,1,2,0,1057,0,1,3,1,1.09,16.8,1,72,3,2532000
ASUS 비보북 X560UD-BQ014,3,256,0,8,1,7677,4,15.6,1,1,2,2,4727,4,1,2,1,1.83,24,1,36,0,732000
ASUS 비보북 X560UD-BQ014,3,256,1024,8,1,7677,4,15.6,1,1,2,2,4727,4,1,2,1,1.83,24,1,36,0,760000
ASUS ROG Strix G G731GU-EV001,3,256,0,8,1,13723,6,17.3,1,1,3,2,11472,6,1,2,0,2.85,26.2,1,66,0,1389000
LG전자 2019 그램 2in1 14T990-GA56K,8,512,0,8,1,7989,4,14,1,1,2,0,1057,0,1,2,0,1.14,17.9,1,72,3,1628000
MSI GP시리즈 GP75 Leopard 9SE 얼티밋 파워팩 프로,9,512,2048,16,1,13723,6,17.3,1,1,3,2,12907,6,1,3,0,2.6,29,1,51,0,1850000
HP 15-da1039TU WIN10,6,256,0,4,1,7989,4,15.6,1,1,3,0,1057,0,1,2,0,1.85,22.5,1,41,3,629000
한성컴퓨터 TFG276ST,17,256,0,8,1,13723,6,17.3,1,1,3,2,11472,6,1,3,0,2.5,27.5,1,46.7,0,1467000
한성컴퓨터 언더케이지 TFX242W,17,512,0,8,1,7989,4,14,1,1,3,0,1057,0,1,3,0,1.05,16.8,0,47,3,856000
ASUS 비보북 S15 S530FN-BQ163,3,256,0,8,1,7989,4,15.6,1,1,3,2,2204,2,1,3,0,1.8,18,1,42,0,739000
삼성전자 2018 노트북9 Always NT900X3T-K58A,13,256,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1,14.9,1,75,3,1274000
삼성전자 2018 노트북9 Always NT900X3T-K58A,13,512,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1,14.9,1,75,3,1384000
삼성전자 2018 노트북9 Always NT900X3T-K58A,13,1024,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1,14.9,1,75,3,1481000
삼성전자 2018 노트북9 Always NT900X3T-K58A,13,2048,0,8,1,7677,4,13.3,1,1,3,0,1057,0,1,2,0,1,14.9,1,75,3,2145000
삼성전자 2019 노트북 Pen S NT950SBE-X716,13,512,0,16,1,8942,4,15,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54,3,2099000
삼성전자 2019 노트북 Pen S NT950SBE-X716,13,1024,0,16,1,8942,4,15,1,2,3,2,2204,2,0,2,0,1.56,16.9,1,54,3,2199000
