brand,SSD.cp,HDD.cp,RAM.cp,CPU.com,CPU.av,core num,screen size,resolution,DDR,SSD.kind,GPU.com,GPU.av,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price,buble
8,512,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72.0,0,1159000,0.0
8,1024,0,8,1,5468,2,15.6,1,1,2,0,1057,0,1,2,0,1.09,16.8,1,72.0,0,1194000,2.0
13,256,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.29,13.7,1,55.0,2,900000,2.0
13,512,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.29,13.7,1,55.0,2,1070000,2.0
13,1024,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.29,13.7,1,55.0,2,1198000,2.0
12,256,0,8,1,7989,4,15.6,1,1,3,0,1057,0,1,2,0,1.76,19.0,1,53.1,0,564000,2.0
11,512,0,16,1,13723,6,15.6,1,1,3,2,12977,8,1,3,0,2.15,17.8,0,80.0,3,3990000,0.0
6,256,0,8,1,7989,4,15.6,1,1,3,2,2629,2,1,2,0,1.85,17.9,0,41.0,0,749000,2.0
13,256,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,2,1072000,2.0
13,512,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,2,1161000,2.0
13,1024,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,2,1260000,2.0
13,2048,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,4,0,1.25,15.4,1,75.0,2,1764000,2.0
3,0,1024,8,1,12454,6,15.6,1,1,0,2,9096,6,1,2,0,2.2,26.0,0,48.0,0,1038000,2.0
3,128,1024,8,1,12454,6,15.6,1,1,1,2,9096,6,1,2,0,2.2,26.0,0,48.0,0,1105000,1.0
3,256,1024,8,1,12454,6,15.6,1,1,1,2,9096,6,1,2,0,2.2,26.0,0,48.0,0,1123000,0.0
3,512,1024,8,1,12454,6,15.6,1,1,1,2,9096,6,1,2,0,2.2,26.0,0,48.0,0,1210000,2.0
3,0,1024,8,1,12454,6,15.6,1,1,0,2,9096,6,1,2,0,2.2,26.0,0,48.0,0,1026230,2.0
17,512,0,8,1,7989,4,14.0,1,1,3,2,2629,2,1,3,0,1.08,16.8,0,47.0,3,918000,2.0
13,256,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54.0,2,1295000,2.0
13,512,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54.0,2,1383000,2.0
13,1024,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54.0,2,1475000,2.0
13,2048,0,8,1,7989,4,15.0,1,2,3,0,1057,0,1,2,0,1.49,16.9,1,54.0,2,2431000,1.0
8,256,0,16,1,7989,4,15.6,1,1,2,0,1057,0,1,3,0,1.09,16.8,1,72.0,3,1479000,2.0
13,0,512,4,1,1898,2,14.0,0,1,0,0,717,0,1,2,0,1.66,19.8,0,43.0,3,375000,2.0
12,128,0,4,1,3194,2,15.6,1,1,1,0,779,0,1,2,0,1.76,19.9,1,53.1,3,427000,2.0
12,256,0,8,1,3194,2,15.6,1,1,1,0,779,0,1,2,0,1.76,19.9,1,53.1,3,515000,2.0
13,256,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,16.5,1,39.0,3,1396000,2.0
13,512,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,16.5,1,39.0,3,1528000,2.0
13,1024,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,16.5,1,39.0,3,1565000,2.0
13,2048,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1.0,16.5,1,39.0,3,2159000,0.0
5,512,0,16,1,13723,6,15.6,4,1,2,2,11398,8,1,3,0,2.0,20.0,1,94.24,0,2647000,2.0
13,256,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,1128000,2.0
13,512,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,1300000,2.0
13,1024,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,1340000,2.0
13,2048,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1.0,14.9,1,75.0,3,1960000,2.0
4,256,0,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56.0,3,880000,2.0
4,512,0,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56.0,3,1070000,2.0
4,256,1024,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56.0,3,1000000,1.0
4,512,1024,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56.0,3,1210000,0.0
9,1024,0,32,1,13723,6,15.6,1,1,3,2,12977,8,1,4,0,1.9,17.9,1,82.0,3,3810000,2.0
8,256,0,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60.0,0,887000,2.0
8,512,0,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60.0,0,946000,2.0
8,256,0,16,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60.0,0,911000,2.0
8,256,512,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60.0,0,963000,0.0
8,256,1024,8,1,7677,4,15.6,1,1,2,2,4727,4,1,3,0,1.9,19.9,1,60.0,0,914000,2.0
17,256,0,8,1,3489,6,15.6,1,1,2,0,1212,0,1,3,0,2.26,30.8,1,47.0,0,655000,1.0
17,512,1024,32,1,20659,8,17.3,1,1,3,2,14170,8,1,3,0,4.0,40.9,1,82.0,0,2840000,2.0
12,512,1024,16,1,13723,6,15.6,1,1,3,2,11472,6,1,2,0,2.3,26.0,0,57.0,0,1435000,2.0
2,512,0,16,1,16768,8,15.4,2,1,1,1,3475,4,0,2,0,1.83,15.5,0,83.6,1,3045000,0.0
4,512,0,16,1,13723,6,15.6,1,1,3,2,11398,8,1,3,0,2.68,23.7,1,60.0,3,2180000,2.0
4,512,0,32,1,13723,6,15.6,1,1,3,2,11398,8,1,3,0,2.68,23.7,1,60.0,3,2530000,2.0
4,1024,0,16,1,13723,6,15.6,1,1,3,2,11398,8,1,3,0,2.68,23.7,1,60.0,3,2490000,1.0
2,512,0,8,1,11015,4,13.3,2,2,1,0,1965,0,0,2,0,1.37,14.9,0,58.0,1,2193410,0.0
9,128,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51.0,0,1127000,2.0
9,256,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51.0,0,1265000,0.0
9,512,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51.0,0,1216000,2.0
9,1024,0,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51.0,0,1358000,2.0
9,128,512,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51.0,0,1252000,0.0
9,128,1024,8,1,13723,6,17.3,1,1,3,2,7841,4,1,2,0,2.2,23.1,1,51.0,0,1243000,0.0
12,128,0,8,1,7677,4,15.6,1,2,2,0,930,4,1,2,0,1.87,22.9,1,53.1,0,520000,2.0
13,0,512,4,1,7677,4,14.0,0,1,0,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,650000,0.0
13,128,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,610000,1.0
13,256,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,652000,0.0
13,512,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,734000,2.0
13,1024,512,4,1,7677,4,14.0,0,1,1,0,1057,0,1,2,0,1.6,19.8,0,43.0,2,929000,0.0
