price,my_predict,difference
948000,947699.0,301.0
1745000,1748199.0,-3199.0
879000,879200.0,-200.0
2035000,2041288.0,-6288.0
555000,554900.0,100.0
2319000,2326500.0,-7500.0
939000,939100.0,-100.0
1117000,1119747.0,-2747.0
1259000,1257400.0,1600.0
926000,925096.0,904.0
1222000,1222000.0,0.0
2076000,2084300.0,-8300.0
1262100,1262900.0,-800.0
1110000,1110500.0,-500.0
1216000,1216000.0,0.0
1210000,1209885.0,115.0
1526000,1524100.0,1900.0
1226000,1225000.0,1000.0
517000,516300.0,700.0
449000,449300.0,-300.0
1369000,1369488.0,-488.0
585000,585200.0,-200.0
1531320,1533110.0,-1790.0
383000,378200.0,4800.0
678000,678000.0,0.0
1087150,1086848.0,302.0
1048990,1049097.0,-107.0
1175000,1173900.0,1100.0
1472000,1471100.0,900.0
2245000,2244200.0,800.0
558000,559300.0,-1300.0
1649000,1649000.0,0.0
1394000,1394600.0,-600.0
1120000,1120532.0,-532.0
815000,814900.0,100.0
632000,633000.0,-1000.0
869000,868896.0,104.0
820000,819900.0,100.0
1808000,1808700.0,-700.0
1038000,1037100.0,900.0
680000,680000.0,0.0
747000,747600.0,-600.0
2196000,2201200.0,-5200.0
1690000,1690200.0,-200.0
574000,572274.0,1726.0
1500000,1500400.0,-400.0
1267000,1267248.0,-248.0
1360000,1360215.0,-215.0
1511000,1509000.0,2000.0
565000,564300.0,700.0
1518000,1518600.0,-600.0
1459000,1456800.0,2200.0
556000,555800.0,200.0
1560000,1560038.0,-38.0
1033000,1031100.0,1900.0
2674000,2660900.0,13100.0
1517000,1515600.0,1400.0
953250,955500.0,-2250.0
801000,799008.0,1992.0
890000,889899.0,101.0
854000,854660.0,-660.0
579000,579800.0,-800.0
1309000,1308500.0,500.0
1650000,1649200.0,800.0
1487970,1487400.0,570.0
1120990,1119547.0,1443.0
1059000,1058200.0,800.0
1170000,1169968.0,32.0
683000,682900.0,100.0
1698000,1698800.0,-800.0
1542000,1541600.0,400.0
2167000,2168300.0,-1300.0
972000,972100.0,-100.0
1590000,1590600.0,-600.0
1550000,1547900.0,2100.0
1228000,1227900.0,100.0
573000,572187.0,813.0
924340,924400.0,-60.0
890000,888500.0,1500.0
584000,584700.0,-700.0
376000,375900.0,100.0
1042990,1042000.0,990.0
699000,698300.0,700.0
1340000,1339800.0,200.0
2089000,2085400.0,3600.0
1368000,1368000.0,0.0
890000,890499.0,-499.0
1285000,1285500.0,-500.0
1438000,1438498.0,-498.0
980000,980100.0,-100.0
1490000,1490300.0,-300.0
660000,659180.0,820.0
1544000,1544900.0,-900.0
2357000,2359500.0,-2500.0
1430000,1430800.0,-800.0
861390,858700.0,2690.0
782000,781300.0,700.0
1932000,1931500.0,500.0
1541000,1541700.0,-700.0
1389000,1388900.0,100.0
638000,638600.0,-600.0
554000,553700.0,300.0
2128000,2139294.0,-11294.0
950000,949597.0,403.0
1028000,1028400.0,-400.0
1149000,1148900.0,100.0
1291000,1290800.0,200.0
912680,913800.0,-1120.0
2650000,2660900.0,-10900.0
1148000,1147000.0,1000.0
1219000,1218900.0,100.0
1529000,1525642.0,3358.0
3089000,3081900.0,7100.0
1004000,1004317.0,-317.0
1437000,1435600.0,1400.0
1364000,1362815.0,1185.0
679000,678800.0,200.0
2762000,2763580.0,-1580.0
2140000,2143788.0,-3788.0
729000,728700.0,300.0
5369000,5265000.0,104000.0
2097000,2099200.0,-2200.0
387000,388700.0,-1700.0
982000,981700.0,300.0
1798000,1797500.0,500.0
1238000,1237000.0,1000.0
1336500,1336800.0,-300.0
1579000,1578400.0,600.0
1823000,1824200.0,-1200.0
619000,619000.0,0.0
427000,425600.0,1400.0
2052000,2043594.0,8406.0
1193000,1193400.0,-400.0
1395000,1394900.0,100.0
1472000,1471200.0,800.0
1455000,1455808.0,-808.0
532000,532200.0,-200.0
1035840,1037200.0,-1360.0
245000,282300.0,-37300.0
608000,608300.0,-300.0
551000,550000.0,1000.0
